link,rango_horario,titulo,descripcion
https://www.9now.com.au/live/channel-9?startPlaying=true,1:07 am - 1:39 am,Hello SA,We show you three ways to enjoy a visit to Salisbury and we have your exclusive first look at Gluttony.
https://www.9now.com.au/live/go?startPlaying=true,1:01 am - 1:31 am,Bewitched,"When disguised as Samantha for a dress fitting, Endora meets an intriguing author and decides to tryout the mortal lifestyle. Nosy Gladys Kravitz sees them together. "
https://www.9now.com.au/live/life?startPlaying=true,1:01 am - 2:00 am,Backed By The Bros,"Jonathan and Drew must decide whether to back an overwhelmed investor that is quite possibly sitting on a goldmine, or a flipping couple who secured an enviable property but have no idea if they should renovate for higher resale."
https://www.9now.com.au/live/rush?startPlaying=true,12:31 am - 1:30 am,Aussie Gold Hunters: Mine Sos,Paul Mackie and the team try to find the causes of a two-year dry streak that threatens to end the dreams of rookie prospectors Chris Moore and Vince Federici.
https://www.9now.com.au/live/event-clt2744p0001f0ipni1y6lkro?startPlaying=true,12:44 am - 2:01 am,Married at First Sight,"(PG) Emotions run high heading into the next commitment ceremony. There are big leaps as some are falling for each other, others are moving in, and two couples split."
https://www.9now.com.au/live/event-cloq8wdbu000x0qqslcqipwhk?startPlaying=true,1:02 am - 1:26 am,Seinfeld,(PG) Jerry and George narrowly avoid a public stoning after George parks his father's car in a handicapped spot.
https://www.9now.com.au/live/event-cm3gjvlw100070gp6breudidp?startPlaying=true,12:09 am - 1:43 am,Infamously in Love,"(PG) A frustratingly micromanaged pop star who dreams of an ordinary life finds herself torn between her celebrity ex, her controlling manager, and a developing romance."
https://www.9now.com.au/live/event-clt26y7j1001d0go61g4sxw6u?startPlaying=true,12:42 am - 1:29 am,Hustlers Gamblers Crooks,"(M) A card counter is hunted down, a tech genius agrees to settle a legal dispute with a poker match, and a gameshow guru reveals the secret behind his biggest win."
https://www.9now.com.au/live/event-cm2jvndfr00000hohaj2kwnry?startPlaying=true,1:02 am - 2:01 am,Top Gear UK,Richards takes an American Mustang car on a road movie across Lincolnshire. Contains Strong Language.
https://www.9now.com.au/live/event-cm2tn1mj200090gl4boc0euil?startPlaying=true,1:08 am - 1:40 am,Roger and Val Have Just Got In,Roger is not happy when Val meets up with an old flame who moved to New Zealand.
https://www.9now.com.au/live/event-cm2ik9a0y000b0gp938fety4t?startPlaying=true,1:06 am - 1:37 am,Delia Smith's Winter Collection,Delia's winter recipes include Moroccan baked chicken and Poached pheasant with celery.
https://www.9now.com.au/live/event-clt27ftj2001p0glt8zvyd8rb?startPlaying=true,1:00 am - 1:12 am,60 Minutes Australia 24/7,(NA) The revival of the Orthodox Church in Russia.
https://www.9now.com.au/live/event-cm2tmqw2o000c0hpegb3z1x11?startPlaying=true,12:52 am - 1:47 am,Wild Africa,A look at how desert animals and plants have evolved to survive their extreme habitats.
https://www.9now.com.au/live/event-clso16reh001a0iqfl2app9rv?startPlaying=true,12:31 am - 1:16 am,Dance Moms,"(PG) With Paige out with a broken foot, Jill seizes the opportunity and spins into hyper-Dance-Mom-mode trying to get Kendall to replace Paige in this weeks numbers."
https://www.9now.com.au/live/event-cm2tmx5u4000e0hoj9urrjysh?startPlaying=true,12:28 am - 1:21 am,Antiques Roadshow,The team find a chastity belt on a farm and a haul of Beatles memorabilia in Hornsea.
https://www.9now.com.au/live/event-clydot09500020ht6tnwdpbth?startPlaying=true,12:33 am - 1:36 am,The Block,"(PG) The show begins in an old movie theatre in Melbourne's Albert Park. Two couples, both die-hard fans of the show, compete to become contestants. "
https://www.9now.com.au/live/event-cm2tmzhry00080gleapbjfz3h?startPlaying=true,12:41 am - 1:32 am,Lucy Alexander's Best of Both Worlds,Louisa and Paul are searching for a home that lets them spend more family time together.
https://www.9now.com.au/live/event-cljz0ychm00000jo17k66q6f5?startPlaying=true,1:07 am - 1:51 am,Iron Chef,(PG) Who will get stung when a dangerous-looking fish is this week's theme ingredient?
Tiempo de ejecución de scrapeo:,21.13666081428528,,
